THE 2000 MOST COMMON FRENCH WORDS
===================================
Based on frequency analysis from spoken French (subtitles corpus)

This list represents the 2000 most frequently used words in spoken French, ranked by frequency of use.
Learning these words will give you approximately 80-90% text coverage in everyday conversation.

Note: These words are presented as they commonly appear (lemmas/word families), not separated into every conjugation.

---

RANK | FRENCH | ENGLISH
343 | leurs | their
344 | aucun | neither
345 | arrivé | arrived
346 | dessus | on top
347 | chérie | honey
348 | mettre | place
349 | aide | help
350 | étaient | were
351 | ie | ie
352 | perdu | lost
353 | fin | end
354 | sois | am
355 | premier | first
356 | genre | kind
357 | aimerais | would
358 | droit | right
359 | donne | gives
360 | attendez | wait
361 | jeune | young
362 | feu | fire
363 | devrais | should
364 | enfant | child
365 | chambre | room
366 | gros | big
367 | côté | side
368 | venu | come
369 | loin | far
370 | laisser | leave
371 | donner | give
372 | jouer | play
373 | savais | knew
374 | compte | account
375 | s | s
376 | parlé | spoken
377 | minutes | minutes
378 | regardez | look
379 | train | train
380 | première | first
381 | pouvoir | power
382 | aura | will
383 | mourir | die
384 | dernière | last
385 | donné | given
386 | ia | ia
387 | mari | husband
388 | écoute | listening
389 | enfin | finally
390 | devrait | should
391 | mis | set
392 | film | movie
393 | aucune | no
394 | fort | strong
395 | façon | way
396 | pays | country
397 | prêt | ready
398 | madame | Mrs.
399 | femmes | women
400 | affaire | business
401 | pourrais | could
402 | espère | hope
403 | parti | party
404 | h | h
405 | boulot | job
406 | endroit | place
407 | fou | crazy
408 | corps | body
409 | hier | yesterday
410 | dont | which
411 | désolée | sorry
412 | grande | high
413 | point | point
414 | cinq | five
415 | dehors | out
416 | filles | girls
417 | cause | because
418 | vivre | live
419 | près | close
420 | pensais | thought
421 | garçon | boy
422 | chef | chief
423 | haut | top
424 | capitaine | captain
425 | dirait | say
426 | bébé | baby
427 | celui | the
428 | demandé | required
429 | possible | possible
430 | mains | hands
431 | ainsi | thereby
432 | quatre | four
433 | nouvelle | news
434 | années | years
435 | plein | full
436 | semaine | week
437 | dites | say
438 | croire | believe
439 | marche | walking
440 | tour | tower
441 | école | school
442 | manger | eat
443 | plutôt | rather
444 | docteur | doctor
445 | ceux | those
446 | vérité | truth
447 | vue | view
448 | arrêter | stop
449 | essaie | tries
450 | envie | want
451 | bientôt | shortly
452 | instant | instant
453 | dernier | latest
454 | affaires | business
455 | arriver | arrive
456 | demander | ask
457 | meilleur | top
458 | font | are
459 | derrière | rear
460 | c | c
461 | dollars | dollars
462 | presque | almost
463 | dr | dr
464 | tellement | so
465 | tomber | fall
466 | journée | day
467 | voulait | wanted
468 | appeler | call
469 | bureau | office
470 | confiance | trust
471 | garde | guard
472 | attendre | wait
473 | numéro | number
474 | serai | will
475 | dur | hard
476 | á | á
477 | souviens | remember
478 | o | o
479 | voyez | see
480 | cours | course
481 | bonsoir | good evening
482 | route | road
483 | fera | will
484 | prend | takes
485 | cul | ass
486 | abord | first
487 | important | significant
488 | peine | sorrow
489 | croyais | thought
490 | mot | word
491 | devez | must
492 | suffit | only
493 | minute | minute
494 | ferme | farm
495 | ben | ben
496 | plaisir | pleasure
497 | chien | dog
498 | jeu | game
499 | seigneur | lord
500 | messieurs | men
501 | calme | calm
502 | voudrais | would
503 | heureux | happy
504 | prenez | take
505 | mariage | wedding
506 | voit | sees
507 | parents | parents
508 | lls | they
509 | dedans | inside
510 | entrer | enter
511 | lit | bed
512 | parfait | perfect
513 | fous | crazy
514 | mlle | miss
515 | rentrer | return
516 | ait | has
517 | musique | music
518 | arrêtez | stop
519 | autant | as
520 | service | service
521 | reviens | back
522 | ceci | this
523 | drôle | funny
524 | attend | expected
525 | parfois | sometimes
526 | téléphone | phone
527 | retour | return
528 | ira | will
529 | e | e
530 | pauvre | poor
531 | verre | glass
532 | général | general
533 | new | new
534 | six | six
535 | pensé | thought
536 | l | the
537 | impossible | impossible
538 | fête | celebration
539 | adore | love
540 | coeur | heart
541 | aimes | love
542 | ci | this
543 | ferai | will
544 | président | president
545 | doute | doubt
546 | facile | easy
547 | entends | hear
548 | payer | pay
549 | appelé | called
550 | prison | prison
551 | john | john
552 | sors | go
553 | café | coffee
554 | vaut | is
555 | mauvais | bad
556 | chéri | honey
557 | oublié | forgot
558 | bras | arm
559 | i | i
560 | gentil | nice
561 | faute | foul
562 | équipe | team
563 | exactement | exactly
564 | cœur | heart
565 | penser | think
566 | changer | change
567 | commence | begins
568 | lieu | place
569 | entendre | hear
570 | ies | ies
571 | roi | king
572 | plan | plan
573 | partout | everywhere
574 | joue | plays
575 | cher | expensive
576 | morts | dead
577 | rendre | return
578 | écrit | written
579 | travailler | work
580 | malade | sick
581 | sinon | otherwise
582 | génial | awesome
583 | regarder | watch
584 | veulent | want
585 | montrer | show
586 | rentre | returns
587 | travaille | works
588 | armée | army
589 | voulu | required
590 | cherche | seeks
591 | état | condition
592 | boire | drink
593 | sécurité | security
594 | dès | from
595 | esprit | wit
596 | année | year
597 | dix | ten
598 | york | york
599 | laissé | left
600 | bois | wood
601 | mets | put
602 | propre | own
603 | soyez | are
604 | jack | jack
605 | essayer | try
606 | faisait | was
607 | tôt | early
608 | surtout | mainly
609 | arme | weapon
610 | t | t
611 | rêve | dream
612 | perdre | lose
613 | avis | review
614 | semble | seems
615 | pire | worse
616 | simple | single
617 | penses | think
618 | parles | talk
619 | paix | peace
620 | livre | book
621 | dormir | sleep
622 | voyons | see
623 | difficile | difficult
624 | retard | delay
625 | allait | would
626 | d | d
627 | sujet | topic
628 | appris | learned
629 | ensuite | then
630 | sauf | except
631 | maître | master
632 | morte | dead
633 | noir | black
634 | or | gold
635 | dîner | dinner
636 | choix | choice
637 | serais | would
638 | ecoute | listening
639 | sale | dirty
640 | étiez | were
641 | sûrement | surely
642 | an | year
643 | ordre | order
644 | souvent | often
645 | essayé | tried
646 | peuvent | can
647 | visage | face
648 | bout | end
649 | changé | changed
650 | sérieux | serious
651 | inquiète | concerned
652 | âge | age
653 | photo | photo
654 | rue | street
655 | tirer | shoot
656 | comprendre | understand
657 | face | face
658 | semaines | weeks
659 | marché | market
660 | questions | questions
661 | honneur | honor
662 | ciel | sky
663 | allé | went
664 | garder | keep
665 | chemin | road
666 | grave | serious
667 | gauche | left
668 | petits | small
669 | courant | current
670 | amie | friend
671 | nouvelles | news
672 | avion | aircraft
673 | con | con
674 | content | happy
675 | force | strength
676 | millions | million
677 | oublie | forget
678 | devoir | have to
679 | prochaine | next
680 | prix | price
681 | propos | about
682 | bateau | boat
683 | bouge | moves
684 | voix | voice
685 | rouge | red
686 | restez | stay
687 | celle | that
688 | pouvais | could
689 | personnes | people
690 | ferais | would
691 | début | first
692 | espèce | species
693 | gueule | mouth
694 | acheter | purchase
695 | continue | continues
696 | sort | out
697 | faim | hunger
698 | long | long
699 | j | j
700 | voyage | travel
701 | message | message
702 | sorte | so
703 | reçu | received
704 | bienvenue | welcome
705 | idiot | idiot
706 | certains | some
707 | hôpital | hospital
708 | promis | promised
709 | devenir | become
710 | ouvre | opens
711 | grâce | thanks
712 | sûre | safe
713 | problèmes | difficulties
714 | armes | weapons
715 | trucs | stuff
716 | camp | camp
717 | allais | would
718 | occupe | occupies
719 | devait | was
720 | manque | lack
721 | connaissez | know
722 | the | the
723 | avaient | had
724 | cheveux | hair
725 | soleil | sun
726 | salle | room
727 | gagner | win
728 | laissez | let
729 | erreur | error
730 | cru | believed
731 | pars | go
732 | bizarre | weird
733 | croyez | believe
734 | sac | bag
735 | hôtel | hotel
736 | oncle | uncle
737 | pièce | room
738 | pouvait | could
739 | fond | background
740 | soirée | evening
741 | secret | secret
742 | patron | boss
743 | rapport | report
744 | apprendre | learn
745 | commencé | started
746 | sauver | save
747 | seconde | second
748 | pensez | think
749 | allô | hello
750 | ailleurs | somewhere else
751 | agent | agent
752 | froid | cold
753 | seras | ll
754 | pied | foot
755 | jolie | pretty
756 | revenir | return
757 | scène | scene
758 | pieds | feet
759 | n | n
760 | devons | have
761 | groupe | group
762 | carte | map
763 | aurai | ll
764 | effet | effect
765 | neuf | new
766 | fallait | had
767 | monte | rises
768 | battre | beat
769 | noël | christmas
770 | venue | coming
771 | mots | words
772 | tire | draws
773 | droite | right
774 | libre | free
775 | soeur | sister
776 | situation | location
777 | seront | will
778 | faux | wrong
779 | bordel | brothel
780 | foutre | fuck
781 | lumière | light
782 | euh | uh
783 | incroyable | incredible
784 | tue | kills
785 | joli | pretty
786 | connaît | knows
787 | debout | standing
788 | colonel | colonel
789 | cheval | horse
790 | écoutez | listen
791 | george | george
792 | joe | joe
793 | vieille | old
794 | entrez | enter
795 | intérieur | inside
796 | coin | corner
797 | auras | get
798 | gagné | won
799 | fric | money
800 | loi | law
801 | absolument | absolutely
802 | dame | lady
803 | cool | cool
804 | magnifique | wonderful
805 | dos | back
806 | occuper | care
807 | présent | this
808 | retrouver | recover
809 | réussi | successful
810 | frank | frank
811 | rencontrer | encounter
812 | aviez | had
813 | meilleure | better
814 | âme | soul
815 | prêts | loans
816 | doucement | gently
817 | table | table
818 | lettre | letter
819 | rappelle | recalls
820 | sam | sam
821 | fut | was
822 | risque | risk
823 | ordres | orders
824 | appel | call
825 | commencer | start
826 | terminé | finished
827 | agit | is
828 | blanc | white
829 | sœur | sister
830 | pareil | such
831 | charlie | charlie
832 | chaud | hot
833 | finir | end
834 | touche | key
835 | avance | advance
836 | ignore | ignores
837 | meurtre | murder
838 | tranquille | peaceful
839 | anniversaire | birthday
840 | déjeuner | breakfast
841 | disais | said
842 | bord | edge
843 | tom | tom
844 | jeunes | youth
845 | accident | accident
846 | parlez | talk
847 | fasse | do
848 | complètement | completely
849 | déteste | hate
850 | clair | clear
851 | marcher | walk
852 | disait | said
853 | mauvaise | bad
854 | envoyé | sent
855 | â | â
856 | professeur | professor
857 | heureuse | happy
858 | doivent | must
859 | midi | twelve o'clock
860 | lire | read
861 | moyen | average
862 | ferait | would
863 | commandant | commanding
864 | vraie | true
865 | // | //
866 | forme | form
867 | tombe | falls
868 | silence | silence
869 | sortez | out
870 | connaître | know
871 | puisse | can
872 | cadeau | gift
873 | flics | cops
874 | mer | sea
875 | médecin | doctor
876 | exact | exact
877 | décidé | decided
878 | moitié | half
879 | surprise | shock
880 | avocat | lawyer
881 | montre | shows
882 | b | b
883 | su | su
884 | porter | wear
885 | télé | TV
886 | vivant | living
887 | jure | jure
888 | disent | say
889 | mr | mr
890 | serez | will
891 | devriez | should
892 | devenu | become
893 | aimé | loved
894 | diable | devil
895 | ligne | online
896 | mission | mission
897 | suppose | suppose
898 | chacun | everyone
899 | autour | around
900 | pote | pal
901 | grosse | big
902 | expliquer | explain
903 | arrivée | advent
904 | monter | up
905 | balle | ball
906 | selon | according
907 | photos | pictures
908 | contrôle | check
909 | prête | ready
910 | anglais | English
911 | sorti | out
912 | k | k
913 | bons | good
914 | disparu | disappeared
915 | tenir | hold
916 | simplement | simply
917 | quitter | leave
918 | envoie | sends
919 | paul | paul
920 | aimer | love
921 | voie | track
922 | paris | paris
923 | classe | classroom
924 | huit | eight
925 | offre | offers
926 | poste | post
927 | dangereux | hazardous
928 | attaque | attack
929 | impression | print
930 | folle | crazy
931 | michael | michael
932 | mange | eat
933 | bravo | bravo
934 | arrière | rear
935 | amérique | america
936 | suivre | follow
937 | aille | go
938 | oublier | forget
939 | peuple | people
940 | baiser | kiss
941 | rencontré | met
942 | honte | shame
943 | connard | motherfucker
944 | trou | hole
945 | retourner | return
946 | chanson | track
947 | change | exchange
948 | arrêté | arrested
949 | enfer | hell
950 | écrire | write
951 | livres | books
952 | habitude | usual
953 | réponse | reply
954 | david | david
955 | lieutenant | lieutenant
956 | savait | knew
957 | radio | radio
958 | tenez | hold
959 | bande | band
960 | bob | bob
961 | rend | makes
962 | compagnie | company
963 | connu | known
964 | secours | relief
965 | danse | dance
966 | met | puts
967 | vol | flight
968 | vit | lives
969 | conneries | bullshit
970 | aurez | will
971 | imagine | imagine
972 | boîte | box
973 | joué | played
974 | triste | sad
975 | sud | south
976 | lu | read
977 | tel | as
978 | merveilleux | wonderful
979 | pute | whore
980 | aie | have
981 | ressemble | looks
982 | coucher | bedroom
983 | ennuis | trouble
984 | volé | stolen
985 | sortie | output
986 | devais | had
987 | combat | fight
988 | bouche | mouth
989 | certain | some
990 | visite | visit
991 | existe | are
992 | bête | beast
993 | retourne | returns
994 | approche | approach
995 | pourtant | however
996 | plusieurs | several
997 | rire | laugh
998 | but | goal
999 | sergent | sergeant
1000 | public | public
1001 | naturel | natural
1002 | sentiment | feeling
1003 | mari | husband
1004 | sang | blood
1005 | ligne | line
1006 | raconter | tell
1007 | normal | normal
1008 | souci | concern
1009 | vivons | live
1010 | responsable | responsible
1011 | système | system
1012 | appartement | apartment
1013 | ancien | ancient
1014 | manière | manner
1015 | organisé | organized
1016 | souvient | remembers
1017 | lieux | places
1018 | suffi | sufficient
1019 | souvent | often
1020 | reste | stay
1021 | jambe | leg
1022 | valeur | value
1023 | appartenir | belong
1024 | considère | considers
1025 | unique | unique
1026 | organisation | organization
1027 | douleur | pain
1028 | histoire | story
1029 | intérêt | interest
1030 | politique | politics
1031 | coupable | guilty
1032 | froid | cold
1033 | mouvement | movement
1034 | auteur | author
1035 | principe | principle
1036 | besoin | need
1037 | découvert | discovered
1038 | comprendre | understand
1039 | intéressant | interesting
1040 | étrange | strange
1041 | condamné | condemned
1042 | relation | relationship
1043 | différent | different
1044 | étranger | stranger
1045 | regard | look
1046 | préféré | preferred
1047 | conscience | consciousness
1048 | expression | expression
1049 | personnel | personal
1050 | cherché | searched
1051 | véritable | true
1052 | vieux | old
1053 | société | society
1054 | proche | near
1055 | moyen | means
1056 | détails | details
1057 | social | social
1058 | poser | pose
1059 | raconté | told
1060 | action | action
1061 | nature | nature
1062 | préoccupé | concerned
1063 | habitude | habit
1064 | vérifier | verify
1065 | résultat | result
1066 | couper | cut
1067 | rendu | rendered
1068 | propre | clean
1069 | série | series
1070 | évidemment | obviously
1071 | représenter | represent
1072 | pratique | practice
1073 | produit | product
1074 | établi | established
1075 | hôpital | hospital
1076 | personnel | personnel
1077 | position | position
1078 | accepter | accept
1079 | reconnaître | recognize
1080 | attitude | attitude
1081 | juge | judge
1082 | rôle | role
1083 | condition | condition
1084 | contraire | opposite
1085 | décision | decision
1086 | intelligence | intelligence
1087 | résoudre | resolve
1088 | prévoir | foresee
1089 | satisfait | satisfied
1090 | raconter | recount
1091 | échapper | escape
1092 | répond | responds
1093 | découvrir | discover
1094 | protéger | protect
1095 | recherche | research
1096 | appartement | apartment
1097 | rencontrer | meet
1098 | construire | build
1099 | reconnu | recognized
1100 | diriger | direct
1101 | région | region
1102 | obtenir | obtain
1103 | responsabilité | responsibility
1104 | supporter | support
1105 | vérité | truth
1106 | particulier | particular
1107 | entreprise | company
1108 | affirmer | affirm
1109 | déclarer | declare
1110 | évident | obvious
1111 | exercice | exercise
1112 | réaliser | realize
1113 | gouvernement | government
1114 | détruire | destroy
1115 | ressource | resource
1116 | élever | raise
1117 | envoyer | send
1118 | immédiat | immediate
1119 | présenter | present
1120 | consacrer | devote
1121 | préférer | prefer
1122 | admettre | admit
1123 | représente | represents
1124 | construire | construct
1125 | permettre | allow
1126 | formation | training
1127 | contenir | contain
1128 | éviter | avoid
1129 | répondre | answer
1130 | confier | entrust
1131 | démontrer | demonstrate
1132 | accorder | grant
1133 | signaler | signal
1134 | convaincre | convince
1135 | fournir | provide
1136 | méthode | method
1137 | étudier | study
1138 | imposer | impose
1139 | communiquer | communicate
1140 | conclure | conclude
1141 | prouver | prove
1142 | établir | establish
1143 | contrôler | control
1144 | assurer | assure
1145 | organiser | organize
1146 | constituer | constitute
1147 | expérience | experience
1148 | poursuivre | pursue
1149 | distinguer | distinguish
1150 | manifester | manifest
1151 | engager | engage
1152 | créer | create
1153 | contribuer | contribute
1154 | maintenir | maintain
1155 | développer | develop
1156 | assister | assist
1157 | considérer | consider
1158 | observer | observe
1159 | correspondre | correspond
1160 | analyser | analyze
1161 | appliquer | apply
1162 | exprimer | express
1163 | exploiter | exploit
1164 | déterminer | determine
1165 | exiger | require
1166 | préparer | prepare
1167 | supporter | support
1168 | subir | undergo
1169 | produire | produce
1170 | procéder | proceed
1171 | transformer | transform
1172 | réunir | gather
1173 | modifier | modify
1174 | confondre | confuse
1175 | étendre | extend
1176 | répéter | repeat
1177 | soumettre | submit
1178 | augmenter | increase
1179 | révéler | reveal
1180 | introduire | introduce
1181 | adresser | address
1182 | régler | adjust
1183 | recourir | resort
1184 | provoquer | provoke
1185 | adopter | adopt
1186 | faciliter | facilitate
1187 | atteindre | reach
1188 | souligner | underline
1189 | opposer | oppose
1190 | préciser | specify
1191 | interdire | forbid
1192 | procurer | procure
1193 | proposer | propose
1194 | témoigner | testify
1195 | exercer | exercise
1196 | indiquer | indicate
1197 | attacher | attach
1198 | contester | contest
1199 | substituer | substitute
1200 | inspirer | inspire
1201 | élaborer | elaborate
1202 | conserver | preserve
1203 | réalité | reality
1204 | saisir | seize
1205 | confier | confide
1206 | consulter | consult
1207 | instituer | institute
1208 | confirmer | confirm
1209 | caractériser | characterize
1210 | pourvoir | provide
1211 | limiter | limit
1212 | exclure | exclude
1213 | remplir | fill
1214 | justifier | justify
1215 | apparaître | appear
1216 | satisfaire | satisfy
1217 | achever | complete
1218 | distribuer | distribute
1219 | signifier | signify
1220 | concevoir | conceive
1221 | inviter | invite
1222 | résister | resist
1223 | accomplir | accomplish
1224 | éprouver | test
1225 | détenir | hold
1226 | compter | count
1227 | entraîner | train
1228 | nécessiter | require
1229 | solliciter | solicit
1230 | profiter | profit
1231 | intégrer | integrate
1232 | stimuler | stimulate
1233 | exposer | expose
1234 | échapper | escape
1235 | consister | consist
1236 | aborder | approach
1237 | favoriser | favor
1238 | rétablir | restore
1239 | contraindre | compel
1240 | remplacer | replace
1241 | accueillir | welcome
1242 | dominer | dominate
1243 | écarter | deviate
1244 | compromettre | compromise
1245 | cultiver | cultivate
1246 | communauté | community
1247 | désigner | designate
1248 | entreprendre | undertake
1249 | accomplir | fulfill
1250 | adresser | address
1251 | garantir | guarantee
1252 | renoncer | renounce
1253 | supprimer | delete
1254 | menacer | threaten
1255 | approuver | approve
1256 | constater | note
1257 | réparer | repair
1258 | contraindre | constrain
1259 | communiquer | communicate
1260 | intervenir | intervene
1261 | définir | define
1262 | supposer | suppose
1263 | dépendre | depend
1264 | prétendre | pretend
1265 | accomplir | perform
1266 | souhaiter | wish
1267 | envisager | consider
1268 | évoquer | evoke
1269 | formuler | formulate
1270 | apprécier | appreciate
1271 | rapporter | report
1272 | respecter | respect
1273 | prononcer | pronounce
1274 | communauté | community
1275 | rassembler | gather
1276 | imaginer | imagine
1277 | confier | trust
1278 | échouer | fail
1279 | empêcher | prevent
1280 | espérer | hope
1281 | caractère | character
1282 | qualifier | qualify
1283 | refuser | refuse
1284 | recommander | recommend
1285 | admettre | allow
1286 | entreprendre | undertake
1287 | réclamer | claim
1288 | prévoir | forecast
1289 | susciter | arouse
1290 | transmettre | transmit
1291 | exécuter | execute
1292 | dissoudre | dissolve
1293 | consentir | consent
1294 | diviser | divide
1295 | éliminer | eliminate
1296 | constater | observe
1297 | instruire | instruct
1298 | renforcer | strengthen
1299 | respecter | respect
1300 | restaurer | restore
1301 | examiner | examine
1302 | importer | import
1303 | délivrer | deliver
1304 | conduire | drive
1305 | accroître | increase
1306 | rédiger | write
1307 | promouvoir | promote
1308 | désirer | desire
1309 | réaliser | achieve
1310 | réserver | reserve
1311 | succéder | succeed
1312 | réunir | unite
1313 | employer | employ
1314 | abandonner | abandon
1315 | déduire | deduce
1316 | enregistrer | record
1317 | soutenir | support
1318 | justifier | justify
1319 | bénéficier | benefit
1320 | commander | command
1321 | déléguer | delegate
1322 | assister | attend
1323 | décider | decide
1324 | disposer | dispose
1325 | appartenir | belong
1326 | convenir | agree
1327 | consacrer | dedicate
1328 | préserver | preserve
1329 | comparer | compare
1330 | répartir | distribute
1331 | utiliser | use
1332 | décrire | describe
1333 | exploiter | operate
1334 | surveiller | monitor
1335 | publier | publish
1336 | composer | compose
1337 | procurer | provide
1338 | réalisation | realization
1339 | parcourir | browse
1340 | recruter | recruit
1341 | récompenser | reward
1342 | collecter | collect
1343 | interpréter | interpret
1344 | investir | invest
1345 | occuper | occupy
1346 | fonder | found
1347 | inciter | incite
1348 | qualifier | qualify
1349 | délivrer | deliver
1350 | appuyer | support
1351 | installer | install
1352 | recueillir | collect
1353 | combiner | combine
1354 | prétendre | claim
1355 | réduire | reduce
1356 | démontrer | show
1357 | négocier | negotiate
1358 | compromettre | endanger
1359 | assigner | assign
1360 | conclure | finish
1361 | acquérir | acquire
1362 | calculer | calculate
1363 | préoccuper | worry
1364 | consommer | consume
1365 | viser | aim
1366 | ignorer | ignore
1367 | attribuer | attribute
1368 | comporter | behave
1369 | défendre | defend
1370 | répandre | spread
1371 | adapter | adapt
1372 | affecter | affect
1373 | encourager | encourage
1374 | estimer | estimate
1375 | classer | classify
1376 | évaluer | evaluate
1377 | parvenir | achieve
1378 | avertir | warn
1379 | conserver | keep
1380 | suspendre | suspend
1381 | concentrer | concentrate
1382 | mentionner | mention
1383 | confier | commit
1384 | désigner | appoint
1385 | enrichir | enrich
1386 | dissiper | dispel
1387 | combattre | fight
1388 | interdire | prohibit
1389 | déposer | deposit
1390 | réclamer | demand
1391 | restreindre | restrict
1392 | citer | cite
1393 | diviser | split
1394 | préoccuper | concern
1395 | attirer | attract
1396 | pratiquer | practice
1397 | rechercher | search
1398 | inspirer | inspire
1399 | suggérer | suggest
1400 | distinguer | distinguish
1401 | décerner | award
1402 | charger | load
1403 | appartenir | pertain
1404 | accuser | accuse
1405 | réformer | reform
